('Action', 3.1585329294510704, 1175)
('Adventure', 3.168709062525581, 707)
('Animation', 3.1758854560200147, 223)
('Comedy', 3.137049467739954, 2113)
('Crime', 3.1625839378882312, 907)
('Documentary', 3.0742356093239844, 503)
('Drama', 3.139121624291451, 3724)
('Family', 3.1569054919202837, 386)
('Fantasy', 3.1429135219007014, 463)
('Foreign', 3.1139858344079143, 271)
('History', 3.1187910458495414, 306)
('Horror', 3.134020262392477, 723)
('Music', 3.1890477821347667, 248)
('Mystery', 3.148769392655548, 475)
('Romance', 3.156277701839363, 1206)
('Science Fiction', 3.157163683913988, 593)
('TV Movie', 3.148118069220998, 87)
('Thriller', 3.1482817481660903, 1427)
('War', 3.114663382606141, 231)
('Western', 3.2140607181871017, 185)
